CompanyId,NameEN,NameHE,SubId,SeedReportId
1925,BULL TRADING-M,בול מסחר-ש,1176635,1619500
2174,CAMTEK,קמטק,1095264,
1272,CAN FITE BIO,כן פייט ביופרמה,1094473,1362250
106,CANADA GLOBAL,קנדה גלובל,106013,1711000
1304,CANZON-M,קנזון-ש,1096007,1672000
1325,CAPITAL POINT,קפיטל פוינט,1097146,1513400
2384,CARASS0 REAL ES,"קרסו נדל""ן",1187962,
1585,CARASSO MOTORS,קרסו מוטורס,1123850,1483750
1748,CARMEL CORP,כרמל קורפ,1147685,1371200
440,CARMIT,כרמית,440016,1637400
2484,CASTELLAN,"קסטלן נדל""ן",1224880,
280,CASTRO,קסטרו,280016,1491200
2066,CELLCOM,סלקום,1101534,1464250
1742,CHAMOSS,שמוס,1155951,1303400
442,CI SYSTEMS,סיאי,442012,1515250
1331,CIELO-BLU,צילו-בלו,1102532,1665000
2409,CION,סיאון,1194000,1621000
1964,CIPIA VISION,סיפיה וויז'ן,1181932,1592500
716,CITRUS PLA,מטעי הדר,716035,1439400
2417,CITY PEOPLE ROT,אנשי העיר,1198266,1711750
1447,CLAL BIO TECHNO,כלל ביוטכנו,1104280,1544800
1324,CLAL CAPITAL,כלל גיוסי הון,1179928,1598400
224,CLAL INSURANCE,כלל עסקי ביטוח,224014,1426000
810,COHEN DEVL.,כהן פיתוח,810010,1372400
2188,COMPUGEN,קומפיוגן,1085208,
507,COMPUTER DIR GR,מיחשוב ישיר קב,507012,
1991,CONTINUAL-M,קונטיניואל-ש,1182260,1470600
1648,COPPERLINE,קופרליין,1224070,1543200
2425,CREDITO IPOS,קרדיטו הנפקות,1216274,1611400
1840,DALIA ENERGY,דליה אנרגיה,1193598,1638200
822,DAN HOTELS,דן מלונות,822015,1596000
314,DANEL,דנאל,314013,1648750
2496,DANIEL DEPOSITS,דניאל פקדונות,1227206,
1096,DANYA CEBUS,דניה סיבוס,1173137,1702400
829,DELEK AUTOMOTIV,דלק רכב,829010,1686400
1095,DELEK GROUP,דלק קבוצה,1084128,1426750
2387,DELEK ISRAEL PR,דלק ישראל נכסים,1196211,1680000
1858,DELTA BRANDS,דלתא מותגים,1173699,1372200
627,DELTA GALIL,דלתא גליל,627034,1462750
2477,DESTINY REAL ES,"דסטיני נדל""ן",1222157,
1193,DIMRI,דמרי,1090315,1518250
1867,DIPLOMAT HOLDI.,דיפלומט,1173491,
1675,DIRECT FINANCE,מימון ישיר קב,1168186,1520800
691,DISCOUNT BANK,דיסקונט,691212,1661800
639,DISCOUNT INV.,דיסקונט השקעות,639013,1424500
748,DISCOUNT MANPIK,דיסקונט מנפיקים,1203157,1661800
1072,DOR ALON,דור אלון,1093202,1723800
1801,DORAL ENERGY,דוראל אנרגיה,1166768,1582000
2397,DORSEL HOLD,דורסל החזקות,1190628,1555200
400,DUNIEC,דוניץ,400010,1668600
382,E&M,אמת,382010,1599250
1823,E.E.A.M.I-M,א.א.א.מ.א-ש,1169895,1657400
1891,ECONERGY,אקונרג'י,1178334,1486800
1979,EFFI CAP NADLAN,"אפי קפיטל נדל""ן",1181437,1691200
2533,EL AD US,אל עד יו אס,1237171,
1152,EL AL,אל על,1087824,1694200
2463,ELAD,אלעד,1217702,1647600
1039,ELBIT IMAGING,אלביט הדמיה,1081116,1722250
1040,ELBIT SYSTEMS,אלביט מערכות,1081124,1367500
694,ELCO,אלקו,694034,1552750
1636,ELDAN TRANSPORT,אלדן תחבורה,1134881,1531750
739,ELECTRA,אלקטרה,739037,1656200
501,ELECTRA CONSUME,אלקטרה צריכה,5010129,1352500
1264,ELECTRA REAL E.,"אלקטרה נדל""ן",1094044,1571500
368,ELECTREON WIRE,אלקטריאון וירלס,368019,1336600
600,ELECTRIC CORP.,חשמל,1196799,1663750
504,ELLA,אלה השקעות,1189950,
1697,ELLA DEPOSITS,אלה פקדונות,1162577,1640500
2101,ELLOMAY CAPITAL,אלומיי קפיטל,1082635,
1704,ELMOR ELECTRIC,אלמור חשמל,1142454,1568600
749,ELRON,אלרון,749077,1702750
1194,ELSPEC,אלספק,1090364,
589,EMILIA DEVELOPM,אמיליה פיתוח,589010,1667500
2352,ENCORE,אנקור הזדמנויות,1220482,1425250
1683,ENCORE PROP,אנקור פרופרטיס,1204403,1407600
1762,ENERGEAN,אנרג'יאן,1155290,1342600
1581,ENERGIX,אנרג'יקס,1123355,1417000
720,ENLIGHT ENERGY,אנלייט אנרגיה,720011,1456000
1780,ENLIVEX,אנלייבקס,1158997,
1998,EPITOMEE,אפיטומי,1182591,1688800
755,EQUITAL,אקויטל,755017,1433500
1550,ERECH FINANCE-M,ערך פיננסים-ש,1120161,1625500
1920,ERIKA CARMEL,אריקה כרמל,1178912,1455250
1912,ETGA GR0UP,אי.טי.ג'י.איי,1176114,1462000
1461,EVOGENE,אבוג'ן,1105055,1670400
704,EXPORT INV.,יצוא,704015,1464400
1622,EXTELL LIMITED,אקסטל לימיטד,1183169,1366000
1621,FATTAL HOLDINGS,פתאל החזקות,1143429,1593250
1661,FATTAL PROP,פתאל אירופה,1168038,1703600
1850,FEAT INVESTMENT,פיט השקעות,1173178,1354000
593,FIBI BANK,בינלאומי,593038,1676800
763,FIBI HOLDINGS,פיבי,763011,
1796,FIRE AND GAS,טכנ גילוי אש גז,1165307,1664600
1868,FLYING SPARK-M,פליינג ספארק-ש,1173582,1720400
315,FMS,פמס,315010,
199,FORESIGHT,פורסייט,199018,1665200
